"id";"student_id";"subject_id";"score"
"1";"1";"1";"10"
"2";"2";"1";"9"
"3";"3";"1";"8"
"4";"4";"1";"9"
"5";"5";"1";"7"
"6";"1";"2";"7"
"7";"2";"2";"8"
"8";"3";"2";"9"
"9";"4";"2";"9"
"10";"5";"2";"8"
"11";"1";"3";"9"
"12";"2";"3";"9"
"13";"3";"3";"8"
"14";"4";"3";"7"
"15";"5";"3";"8"
"16";"1";"4";"6"
"17";"2";"4";"7"
"18";"3";"4";"6"
"19";"4";"4";"8"
"20";"5";"4";"9"
"21";"1";"5";"7"
"22";"2";"5";"6"
"23";"3";"5";"6"
"24";"4";"5";"7"
"25";"5";"5";"8"
"26";"1";"6";"8"
"27";"2";"6";"8"
"28";"3";"6";"7"
"29";"4";"6";"6"
"30";"5";"6";"5"
"31";"1";"7";"7"
"32";"2";"7";"6"
"33";"3";"7";"6"
"34";"4";"7";"5"
"35";"5";"7";"8"
"36";"1";"8";"9"
"37";"2";"8";"9"
"38";"3";"8";"8"
"39";"4";"8";"7"
"40";"5";"8";"8"
"student_id";"student_name";"birthday"
"1";"Trường";"0000-00-00"
"2";"Nam";"0000-00-00"
"3";"Liên";"0000-00-00"
"4";"Long";"1993-09-15"
"5";"Thang4";"1993-12-15"
"subject_id";"subject_name";"factor"
"1";"Math";"2"
"2";"Physical";"2"
"3";"Chemical";"2"
"4";"Biological";"1"
"5";"History";"1"
"6";"Geography";"1"
"7";"Literature";"1"
"8";"English";"1"
